n,x1,x2,x3,f(x1),f(x2),f(x3),x,f(x),b-a,k
1,0.000000,3.141593,6.283185,1.000000,3.141593,6.283185,2.296424,-6.800215,6.283185,1.000000
2,0.000000,2.296424,3.141593,1.000000,2.296424,3.141593,2.647083,-7.263695,3.141593,2.000000
3,2.296424,2.647083,3.141593,-6.800215,2.647083,3.141593,2.691865,-7.273708,0.845169,3.717120
4,2.647083,2.691865,3.141593,-7.263695,2.691865,3.141593,2.704403,-7.274345,0.494510,1.709104
5,2.691865,2.704403,3.141593,-7.273708,2.704403,3.141593,2.706011,-7.274357,0.449728,1.099575
6,2.704403,2.706011,3.141593,-7.274345,2.706011,3.141593,2.706405,-7.274358,0.437189,1.028680
7,2.706011,2.706405,3.141593,-7.274357,2.706405,3.141593,2.706461,-7.274358,0.435581,1.003692
8,2.706405,2.706461,3.141593,-7.274358,2.706461,3.141593,2.706473,-7.274358,0.435187,1.000905
9,2.706461,2.706473,3.141593,-7.274358,2.706473,3.141593,2.706475,-7.274358,0.435132,1.000127
1
